original,transformed,Label
He never tells a lie.,He always tells the truth.,Negative to Positive
My parents taught me the importance of kindness.,The importance of kindness was taught to me by my parents.,Active to Passive
The authorities were investigating the case.,The case was being investigated by the authorities.,Active to Passive
The severe storm caused widespread power outages.,Widespread power outages were caused by the severe storm.,Active to Passive
"He boasted, ""I'm a black belt in karate.""",He boasted that he was a black belt in karate.,Direct to Indirect Speech
The movie is being watched by millions.,Millions are watching the movie.,Passive to Active
The police are questioning a group of suspects.,A group of suspects is being questioned by the police.,Active to Passive
We didn't find any discrepancies.,All findings were consistent.,Negative to Positive
The windows had been cleaned before the party.,They had cleaned the windows before the party.,Passive to Active
The news had been leaked by an anonymous source.,An anonymous source had leaked the news.,Passive to Active
The book is interesting.,The book is not interesting.,Positive to Negative
She's not a very observant person.,She's an unobservant person.,Negative to Positive
"He commented, ""The traffic is terrible today.""",He commented that the traffic was terrible that day.,Direct to Indirect Speech
The information is not relevant.,The information is irrelevant.,Negative to Positive
They solved the problem.,They did not solve the problem.,Positive to Negative
I like strong coffee.,I do not like strong coffee.,Positive to Negative
He isn't able to attend the meeting.,He is unable to attend the meeting.,Negative to Positive
They haven't made their intentions clear.,Their intentions are unclear.,Negative to Positive
"The sign said, ""Danger! Thin Ice.""",The sign said that there was danger of thin ice.,Direct to Indirect Speech
"He announced proudly, ""My son got into Harvard!""",He announced proudly that his son had got into Harvard.,Direct to Indirect Speech
We didn't anticipate the challenges.,We were surprised by the challenges.,Negative to Positive
The director ordered the actors to rehearse again.,"The director ordered the actors, 'Rehearse again!'",Indirect to Direct Speech
The new policy will promote economic growth.,Economic growth will be promoted by the new policy.,Active to Passive
His accomplishments were celebrated by the public.,The public celebrated his accomplishments.,Passive to Active
The company values transparency and accountability.,Transparency and accountability are valued by the company.,Active to Passive
We are moving next month.,We are not moving next month.,Positive to Negative
"He boasted, ""I can speak three languages fluently.""",He boasted that he could speak three languages fluently.,Direct to Indirect Speech
We should protect endangered species.,Endangered species should be protected by us.,Active to Passive
"The librarian said, ""Please keep your voices down.""",The librarian asked them to keep their voices down.,Direct to Indirect Speech
The company promises its employees good benefits.,Its employees are promised good benefits by the company.,Active to Passive
Someone picked the flowers.,The flowers were picked.,Active to Passive
The concert started early.,The concert did not start early.,Positive to Negative
"They informed us, ""We're moving to Canada.""",They informed us that they were moving to Canada.,Direct to Indirect Speech
He wondered if it would rain.,"He wondered, 'Will it rain?'",Indirect to Direct Speech
I don't think he's capable.,I think he's incapable.,Negative to Positive
He advised me not to trust strangers.,"He advised me, 'Do not trust strangers.'",Indirect to Direct Speech
The dog wagged its tail.,The dog did not wag its tail.,Positive to Negative
"She exclaimed, ""This movie is fantastic!""",She exclaimed that that movie was fantastic.,Direct to Indirect Speech
We should address this issue immediately.,This issue should be addressed immediately by us.,Active to Passive
The concert was organized by a local group.,A local group organized the concert.,Passive to Active
The documents are being shredded for security.,They are shredding the documents for security.,Passive to Active
He solved a complex puzzle.,A complex puzzle was solved by him.,Active to Passive
The decision was communicated to all employees.,They communicated the decision to all employees.,Passive to Active
The dog is playful.,The dog is not playful.,Positive to Negative
